Master_Group_Code,item_code,bill_no,brcode,Tran_Type,d_date,year,month,monthnumber,Year_Month_Brcode,Tran_Month,Channel,qty,Disc_Amt,Net_Sales,Margin_Value,MRP_Value,Spl_disc_Amt,Tot_Disc_Amt,Cost_Value,Main_Category,pl_Flag
GM0003,309588,614/2022/S/4395,614,Sales,2022-04-13T00:00:00.000Z,2022,Apr,4,2022-Apr-614,Apr,Offline,3.00,24.95,224.59,56.89,8.32,0.03,24.98,167.70,PHARMA,OTHERS
GM0007,221749,614/2022/S/1404,614,Sales,2022-04-04T00:00:00.000Z,2022,Apr,4,2022-Apr-614,Apr,Offline,1.00,0.00,78.04,26.15,78.04,0.0,0.0,51.89,PHARMA,OTHERS
GM0003,227737,614/2022/S/3113,614,Sales,2022-04-09T00:00:00.000Z,2022,Apr,4,2022-Apr-614,Apr,Offline,1.00,0.00,80.36,23.86,80.36,0.0,0.0,56.50,PHARMA,OTHERS
GM0005,249044,614/2022/S/3113,614,Sales,2022-04-09T00:00:00.000Z,2022,Apr,4,2022-Apr-614,Apr,Offline,1.00,0.00,60.26,40.1,6.03,0.01,0.01,20.16,PHARMA,OTHERS
GM0005,249089,614/2022/S/3113,614,Sales,2022-04-09T00:00:00.000Z,2022,Apr,4,2022-Apr-614,Apr,Offline,1.00,0.00,37.94,22.84,3.80,0.01,0.01,15.10,PHARMA,OTHERS
GM0007,314150,614/2022/S/9530,614,Sales,2022-04-27T00:00:00.000Z,2022,Apr,4,2022-Apr-614,Apr,Offline,0.30,0.00,17.27,5.26,5.76,0.0,0.0,12.02,PHARMA,OTHERS
GM0007,316642,614/2022/S/9530,614,Sales,2022-04-27T00:00:00.000Z,2022,Apr,4,2022-Apr-614,Apr,Offline,1.00,0.00,39.02,11.88,39.02,0.0,0.0,27.14,PHARMA,OTHERS
GM0003,211294,614/2022/S/7355,614,Sales,2022-04-21T00:00:00.000Z,2022,Apr,4,2022-Apr-614,Apr,Offline,1.00,0.00,116.07,49.98,11.61,0.0,0.0,66.09,PHARMA,OTHERS
GM0003,238298,614/2022/S/2371,614,Sales,2022-04-07T00:00:00.000Z,2022,Apr,4,2022-Apr-614,Apr,Offline,1.00,21.52,193.64,26.36,7.17,0.0,21.52,167.28,PHARMA,OTHERS
GM0007,255859,614/2022/S/10480,614,Sales,2022-04-29T00:00:00.000Z,2022,Apr,4,2022-Apr-614,Apr,Offline,1.00,0.00,62.5,47.22,62.50,0.0,0.0,15.28,PHARMA,OTHERS
GM0003,327068,614/2022/S/3026,614,Sales,2022-04-09T00:00:00.000Z,2022,Apr,4,2022-Apr-614,Apr,Offline,1.00,46.43,417.86,109.37,464.29,0.0,46.43,308.49,PHARMA,OTHERS
GM0001,331325,614/2022/S/6088,614,Sales,2022-04-18T00:00:00.000Z,2022,Apr,4,2022-Apr-614,Apr,Offline,1.00,0.00,8.47,1.58,8.48,0.0,0.0,6.90,FMCG,OTHERS
GM0004,222323,614/2022/S/8003,614,Sales,2022-04-23T00:00:00.000Z,2022,Apr,4,2022-Apr-614,Apr,Offline,1.00,0.00,45.71,10.75,45.71,0.0,0.0,34.96,PHARMA,OTHERS
GM0003,207682,614/2022/S/820,614,Sales,2022-04-03T00:00:00.000Z,2022,Apr,4,2022-Apr-614,Apr,Offline,0.60,0.00,24.64,7.31,4.11,0.0,0.0,17.33,PHARMA,OTHERS
GM0003,207682,614/2022/S/4975,614,Sales,2022-04-15T00:00:00.000Z,2022,Apr,4,2022-Apr-614,Apr,Offline,0.60,2.46,22.18,4.85,4.11,0.0,2.46,17.33,PHARMA,OTHERS
GM0003,224802,614/2022/S/9530,614,Sales,2022-04-27T00:00:00.000Z,2022,Apr,4,2022-Apr-614,Apr,Offline,0.50,0.00,11.38,4.34,2.28,0.01,0.01,7.04,PHARMA,OTHERS
GM0003,241811,614/2022/S/5044,614,Sales,2022-04-15T00:00:00.000Z,2022,Apr,4,2022-Apr-614,Apr,Offline,1.00,17.77,159.9,36.56,17.77,0.01,17.78,123.34,PHARMA,OTHERS
GM0003,243713,614/2022/S/5240,614,Sales,2022-04-15T00:00:00.000Z,2022,Apr,4,2022-Apr-614,Apr,Offline,0.50,0.00,40.4,34.11,8.08,0.0,0.0,6.29,PHARMA,OTHERS
GM0003,298876,614/2022/S/9394,614,Sales,2022-04-26T00:00:00.000Z,2022,Apr,4,2022-Apr-614,Apr,Offline,1.00,0.00,51.79,15.38,51.79,0.0,0.0,36.41,PHARMA,OTHERS
GM0007,345282,614/2022/S/1522,614,Sales,2022-04-05T00:00:00.000Z,2022,Apr,4,2022-Apr-614,Apr,Offline,1.00,0.00,27.59,9.75,1.84,0.0,0.0,17.84,PHARMA,OTHERS
GM0008,247523,614/2022/S/9076,614,Sales,2022-04-25T00:00:00.000Z,2022,Apr,4,2022-Apr-614,Apr,Offline,1.00,0.00,132.14,73.97,132.14,0.0,0.0,58.17,FMCG,OTHERS
GM0010,341105,614/2022/S/7932,614,Sales,2022-04-22T00:00:00.000Z,2022,Apr,4,2022-Apr-614,Apr,Offline,1.00,0.00,133.93,69.95,133.93,0.0,0.0,63.98,FMCG,PL
GM0012,372681,614/2022/S/1541,614,Sales,2022-04-05T00:00:00.000Z,2022,Apr,4,2022-Apr-614,Apr,Offline,1.00,73.94,221.82,47.76,295.76,0.0,73.94,174.06,FMCG,PL
GM0007,205504,614/2022/S/3976,614,Sales,2022-04-12T00:00:00.000Z,2022,Apr,4,2022-Apr-614,Apr,Offline,3.00,3.83,34.43,5.51,1.28,0.03,3.86,28.92,PHARMA,OTHERS
GM0007,285757,614/2022/S/4681,614,Sales,2022-04-14T00:00:00.000Z,2022,Apr,4,2022-Apr-614,Apr,Offline,4.00,91.47,518.31,45.79,20.33,0.0,91.47,472.52,PHARMA,OTHERS
GM0007,288927,614/2022/S/7393,614,Sales,2022-04-21T00:00:00.000Z,2022,Apr,4,2022-Apr-614,Apr,Offline,0.20,68.81,619.32,49.19,688.13,0.0,68.81,570.13,PHARMA,OTHERS
GM0007,298282,614/2022/S/557,614,Sales,2022-04-02T00:00:00.000Z,2022,Apr,4,2022-Apr-614,Apr,Offline,1.00,0.00,47.32,10.36,4.73,0.0,0.0,36.96,PHARMA,OTHERS
GM0007,298289,614/2022/S/2232,614,Sales,2022-04-07T00:00:00.000Z,2022,Apr,4,2022-Apr-614,Apr,Offline,2.00,91.96,827.68,81.44,45.98,0.0,91.96,746.24,PHARMA,OTHERS
GM0003,318004,614/2022/S/1884,614,Sales,2022-04-06T00:00:00.000Z,2022,Apr,4,2022-Apr-614,Apr,Offline,2.00,49.74,447.64,67.9,33.16,0.0,49.74,379.74,PHARMA,OTHERS
GM0007,369769,614/2022/S/5820,614,Sales,2022-04-17T00:00:00.000Z,2022,Apr,4,2022-Apr-614,Apr,Offline,4.00,34.46,310.12,35.14,5.74,0.06,34.52,274.98,PHARMA,OTHERS
GM0007,377254,614/2022/S/5497,614,Sales,2022-04-16T00:00:00.000Z,2022,Apr,4,2022-Apr-614,Apr,Offline,3.00,29.33,263.95,41.35,9.78,0.03,29.36,222.60,PHARMA,OTHERS
GM0007,301510,614/2022/S/2371,614,Sales,2022-04-07T00:00:00.000Z,2022,Apr,4,2022-Apr-614,Apr,Offline,1.00,30.59,275.34,44.06,305.93,0.0,30.59,231.28,PHARMA,OTHERS
GM0005,261932,614/2022/S/2054,614,Sales,2022-04-06T00:00:00.000Z,2022,Apr,4,2022-Apr-614,Apr,Offline,1.00,0.00,24.1,14.52,2.41,0.01,0.01,9.58,PHARMA,OTHERS
GM0007,336457,614/2022/S/5044,614,Sales,2022-04-15T00:00:00.000Z,2022,Apr,4,2022-Apr-614,Apr,Offline,1.00,11.07,99.64,15.95,11.07,0.0,11.07,83.69,PHARMA,OTHERS
GM0001,201877,614/2022/S/3523,614,Sales,2022-04-10T00:00:00.000Z,2022,Apr,4,2022-Apr-614,Apr,Offline,2.00,0.00,76.27,8.17,38.14,0.0,0.0,68.10,FMCG,OTHERS
GM0001,254621,614/2022/S/2371,614,Sales,2022-04-07T00:00:00.000Z,2022,Apr,4,2022-Apr-614,Apr,Offline,2.00,0.00,76.27,8.17,38.14,0.0,0.0,68.10,FMCG,OTHERS
-,364505,614/2022/S/1884,614,Sales,2022-04-06T00:00:00.000Z,2022,Apr,4,2022-Apr-614,Apr,Offline,1.00,0.00,118.64,27.28,118.64,0.0,0.0,91.36,FMCG,OTHERS
GM0011,377466,614/2022/S/7932,614,Sales,2022-04-22T00:00:00.000Z,2022,Apr,4,2022-Apr-614,Apr,Offline,1.00,40.04,226.92,74.22,266.96,0.0,40.04,152.70,FMCG,PL
GM0001,255248,614/2022/S/4395,614,Sales,2022-04-13T00:00:00.000Z,2022,Apr,4,2022-Apr-614,Apr,Offline,1.00,0.00,16.95,8.26,16.95,0.0,0.0,8.69,FMCG,OTHERS
GM0001,255248,614/2022/S/4972,614,Sales,2022-04-15T00:00:00.000Z,2022,Apr,4,2022-Apr-614,Apr,Offline,3.00,0.00,50.85,24.77,16.95,0.0,0.0,26.08,FMCG,OTHERS
GM0001,267780,614/2022/S/8117,614,Sales,2022-04-23T00:00:00.000Z,2022,Apr,4,2022-Apr-614,Apr,Offline,1.00,4.46,40.18,6.7,44.64,0.0,4.46,33.48,FMCG,OTHERS
-,248609,614/2022/S/6253,614,Sales,2022-04-18T00:00:00.000Z,2022,Apr,4,2022-Apr-614,Apr,Offline,1.00,0.00,177.97,53.39,177.97,0.0,0.0,124.58,FMCG,OTHERS
GM0001,270008,614/2022/S/3026,614,Sales,2022-04-09T00:00:00.000Z,2022,Apr,4,2022-Apr-614,Apr,Offline,1.00,0.00,58.04,9.68,58.04,0.0,0.0,48.36,FMCG,OTHERS
GM0003,210831,614/2022/S/10480,614,Sales,2022-04-29T00:00:00.000Z,2022,Apr,4,2022-Apr-614,Apr,Offline,0.20,0.00,8.84,1.94,4.42,0.0,0.0,6.90,PHARMA,OTHERS
GM0007,212138,614/2022/S/4975,614,Sales,2022-04-15T00:00:00.000Z,2022,Apr,4,2022-Apr-614,Apr,Offline,1.00,16.75,150.71,24.12,16.75,0.01,16.76,126.59,PHARMA,OTHERS
-,354064,614/2022/S/8117,614,Sales,2022-04-23T00:00:00.000Z,2022,Apr,4,2022-Apr-614,Apr,Offline,1.00,0.00,50.0,13.67,50.00,0.0,0.0,36.33,FMCG,OTHERS
GM0007,212302,614/2022/S/9076,614,Sales,2022-04-25T00:00:00.000Z,2022,Apr,4,2022-Apr-614,Apr,Offline,3.00,22.77,204.91,40.82,75.89,0.0,22.77,164.09,PHARMA,OTHERS
GM0003,255227,614/2022/S/3026,614,Sales,2022-04-09T00:00:00.000Z,2022,Apr,4,2022-Apr-614,Apr,Offline,2.00,11.43,102.85,16.45,5.71,0.0,11.43,86.40,PHARMA,OTHERS
GM0018,354114,614/2022/S/6538,614,Sales,2022-04-19T00:00:00.000Z,2022,Apr,4,2022-Apr-614,Apr,Offline,1.00,0.00,35.71,14.69,35.71,0.0,0.0,21.02,FMCG,PL
GM0004,209241,614/2022/S/9530,614,Sales,2022-04-27T00:00:00.000Z,2022,Apr,4,2022-Apr-614,Apr,Offline,1.00,0.00,25.79,6.29,25.80,0.0,0.0,19.50,PHARMA,OTHERS
GM0004,207125,614/2022/S/384,614,Sales,2022-04-02T00:00:00.000Z,2022,Apr,4,2022-Apr-614,Apr,Offline,1.00,2.06,18.51,2.96,1.37,0.0,2.06,15.56,PHARMA,OTHERS
GM0003,213696,614/2022/S/6958,614,Sales,2022-04-20T00:00:00.000Z,2022,Apr,4,2022-Apr-614,Apr,Offline,2.00,91.53,823.72,11.04,915.25,0.0,91.53,812.68,PHARMA,OTHERS
GM0007,338434,614/2022/S/3026,614,Sales,2022-04-09T00:00:00.000Z,2022,Apr,4,2022-Apr-614,Apr,Offline,1.00,33.68,303.14,57.0,22.46,0.0,33.68,246.14,PHARMA,OTHERS
GM0001,315823,614/2022/S/4972,614,Sales,2022-04-15T00:00:00.000Z,2022,Apr,4,2022-Apr-614,Apr,Offline,1.00,0.00,16.95,5.32,16.95,0.0,0.0,11.63,FMCG,OTHERS
GM0001,295373,614/2022/S/8117,614,Sales,2022-04-23T00:00:00.000Z,2022,Apr,4,2022-Apr-614,Apr,Offline,1.00,0.00,84.75,16.11,84.75,0.0,0.0,68.64,FMCG,OTHERS
GM0011,302941,614/2022/S/6253,614,Sales,2022-04-18T00:00:00.000Z,2022,Apr,4,2022-Apr-614,Apr,Offline,1.00,0.00,156.25,91.0,156.25,0.0,0.0,65.25,FMCG,PL
-,245455,614/2022/S/2371,614,Sales,2022-04-07T00:00:00.000Z,2022,Apr,4,2022-Apr-614,Apr,Offline,1.00,0.00,72.03,19.59,72.03,0.0,0.0,52.44,FMCG,OTHERS
GM0001,264225,614/2022/S/9822,614,Sales,2022-04-28T00:00:00.000Z,2022,Apr,4,2022-Apr-614,Apr,Offline,3.00,0.00,101.69,25.42,33.90,0.0,0.0,76.27,FMCG,OTHERS
GM0001,264233,614/2022/S/6088,614,Sales,2022-04-18T00:00:00.000Z,2022,Apr,4,2022-Apr-614,Apr,Offline,2.00,0.00,33.9,8.47,16.95,0.0,0.0,25.43,FMCG,OTHERS
GM0001,264233,614/2022/S/9807,614,Sales,2022-04-28T00:00:00.000Z,2022,Apr,4,2022-Apr-614,Apr,Offline,2.00,0.00,33.9,8.48,16.95,0.0,0.0,25.42,FMCG,OTHERS
GM0001,264269,614/2022/S/4535,614,Sales,2022-04-13T00:00:00.000Z,2022,Apr,4,2022-Apr-614,Apr,Offline,1.00,0.00,21.19,5.3,21.19,0.0,0.0,15.89,FMCG,OTHERS
GM0001,271509,614/2022/S/9822,614,Sales,2022-04-28T00:00:00.000Z,2022,Apr,4,2022-Apr-614,Apr,Offline,1.00,0.00,12.71,3.18,12.71,0.0,0.0,9.53,FMCG,OTHERS
GM0001,285028,614/2022/S/4535,614,Sales,2022-04-13T00:00:00.000Z,2022,Apr,4,2022-Apr-614,Apr,Offline,1.00,0.00,33.9,7.06,33.90,0.0,0.0,26.84,FMCG,OTHERS
GM0001,299744,614/2022/S/3523,614,Sales,2022-04-10T00:00:00.000Z,2022,Apr,4,2022-Apr-614,Apr,Offline,1.00,0.00,25.42,6.35,25.42,0.0,0.0,19.07,FMCG,OTHERS
GM0001,316834,614/2022/S/10130,614,Sales,2022-04-28T00:00:00.000Z,2022,Apr,4,2022-Apr-614,Apr,Offline,1.00,0.00,76.27,19.07,76.27,0.0,0.0,57.20,FMCG,OTHERS
-,373730,614/2022/S/1404,614,Sales,2022-04-04T00:00:00.000Z,2022,Apr,4,2022-Apr-614,Apr,Offline,4.00,0.00,84.74,21.16,21.19,0.0,0.0,63.58,FMCG,OTHERS
GM0003,204112,614/2022/S/384,614,Sales,2022-04-02T00:00:00.000Z,2022,Apr,4,2022-Apr-614,Apr,Offline,2.00,1.57,14.08,0.89,1.12,0.03,1.6,13.19,PHARMA,OTHERS
GM0003,208559,614/2022/S/4681,614,Sales,2022-04-14T00:00:00.000Z,2022,Apr,4,2022-Apr-614,Apr,Offline,2.00,97.77,554.02,77.7,325.89,0.0,97.77,476.32,PHARMA,OTHERS
GM0007,243162,614/2022/S/2706,614,Sales,2022-04-08T00:00:00.000Z,2022,Apr,4,2022-Apr-614,Apr,Offline,2.00,19.02,171.18,24.99,19.02,0.02,19.04,146.19,PHARMA,OTHERS
GM0003,245375,614/2022/S/409,614,Sales,2022-04-02T00:00:00.000Z,2022,Apr,4,2022-Apr-614,Apr,Offline,4.00,50.80,457.2,73.12,25.40,0.04,50.839999999999996,384.08,PHARMA,OTHERS
GM0007,285748,614/2022/S/2706,614,Sales,2022-04-08T00:00:00.000Z,2022,Apr,4,2022-Apr-614,Apr,Offline,2.00,19.37,174.37,17.14,6.46,0.0,19.37,157.23,PHARMA,OTHERS
GM0003,300838,614/2022/S/5820,614,Sales,2022-04-17T00:00:00.000Z,2022,Apr,4,2022-Apr-614,Apr,Offline,3.00,28.31,254.8,36.52,9.44,0.03,28.34,218.28,PHARMA,OTHERS
GM0003,327197,614/2022/S/384,614,Sales,2022-04-02T00:00:00.000Z,2022,Apr,4,2022-Apr-614,Apr,Offline,1.00,21.93,197.38,28.25,14.62,0.0,21.93,169.13,PHARMA,OTHERS
GM0007,378708,614/2022/S/409,614,Sales,2022-04-02T00:00:00.000Z,2022,Apr,4,2022-Apr-614,Apr,Offline,3.00,10.89,97.97,22.55,2.42,0.05,10.940000000000001,75.42,PHARMA,OTHERS
GM0003,299431,614/2022/S/4681,614,Sales,2022-04-14T00:00:00.000Z,2022,Apr,4,2022-Apr-614,Apr,Offline,3.00,180.80,1024.52,95.02,28.70,0.0,180.8,929.50,PHARMA,OTHERS
GM0005,233729,614/2022/S/1522,614,Sales,2022-04-05T00:00:00.000Z,2022,Apr,4,2022-Apr-614,Apr,Offline,1.00,0.00,105.93,90.79,10.59,0.01,0.01,15.14,PHARMA,OTHERS
GM0007,233929,614/2022/S/5240,614,Sales,2022-04-15T00:00:00.000Z,2022,Apr,4,2022-Apr-614,Apr,Offline,1.00,0.00,124.55,33.37,12.46,0.0,0.0,91.18,PHARMA,OTHERS
GM0005,286659,614/2022/S/10480,614,Sales,2022-04-29T00:00:00.000Z,2022,Apr,4,2022-Apr-614,Apr,Offline,0.50,0.00,50.89,36.82,10.18,0.01,0.01,14.08,PHARMA,OTHERS
GM0003,304654,614/2022/S/2752,614,Sales,2022-04-08T00:00:00.000Z,2022,Apr,4,2022-Apr-614,Apr,Offline,1.00,0.00,32.82,10.5,1.10,0.03,0.03,22.32,PHARMA,OTHERS
GM0003,327375,614/2022/S/4681,614,Sales,2022-04-14T00:00:00.000Z,2022,Apr,4,2022-Apr-614,Apr,Offline,2.00,39.91,226.13,20.99,8.87,0.03,39.94,205.14,PHARMA,OTHERS
GM0007,339270,614/2022/S/4975,614,Sales,2022-04-15T00:00:00.000Z,2022,Apr,4,2022-Apr-614,Apr,Offline,0.30,1.49,13.38,2.14,2.48,0.01,1.5,11.24,PHARMA,OTHERS
GM0007,350402,614/2022/S/8660,614,Sales,2022-04-24T00:00:00.000Z,2022,Apr,4,2022-Apr-614,Apr,Offline,1.00,0.00,193.74,44.36,12.92,0.0,0.0,149.39,PHARMA,OTHERS
GM0012,370872,614/2022/S/7034,614,Sales,2022-04-20T00:00:00.000Z,2022,Apr,4,2022-Apr-614,Apr,Offline,1.00,126.69,126.69,-22.43,253.39,0.0,126.69,149.12,FMCG,PL
GM0007,321653,614/2022/S/3976,614,Sales,2022-04-12T00:00:00.000Z,2022,Apr,4,2022-Apr-614,Apr,Offline,3.00,27.68,249.13,43.09,18.46,0.03,27.71,206.04,PHARMA,OTHERS
GM0003,328881,614/2022/S/384,614,Sales,2022-04-02T00:00:00.000Z,2022,Apr,4,2022-Apr-614,Apr,Offline,2.00,20.03,180.31,25.81,10.02,0.02,20.05,154.50,PHARMA,OTHERS
GM0007,349223,614/2022/S/3976,614,Sales,2022-04-12T00:00:00.000Z,2022,Apr,4,2022-Apr-614,Apr,Offline,3.00,14.27,128.44,18.17,9.51,0.0,14.27,110.27,PHARMA,OTHERS
-,225830,614/2022/S/7034,614,Sales,2022-04-20T00:00:00.000Z,2022,Apr,4,2022-Apr-614,Apr,Offline,1.00,0.00,16.95,7.32,16.95,0.0,0.0,9.63,FMCG,OTHERS
-,336134,614/2022/S/1541,614,Sales,2022-04-05T00:00:00.000Z,2022,Apr,4,2022-Apr-614,Apr,Offline,1.00,0.00,63.56,10.59,63.56,0.0,0.0,52.97,FMCG,OTHERS
-,336134,614/2022/S/3800,614,Sales,2022-04-11T00:00:00.000Z,2022,Apr,4,2022-Apr-614,Apr,Offline,1.00,0.00,63.56,10.59,63.56,0.0,0.0,52.97,FMCG,OTHERS
GM0007,230201,614/2022/S/8977,614,Sales,2022-04-25T00:00:00.000Z,2022,Apr,4,2022-Apr-614,Apr,Offline,1.00,37.32,335.89,48.11,373.21,0.0,37.32,287.78,PHARMA,OTHERS
GM0007,247143,614/2022/S/10452,614,Sales,2022-04-29T00:00:00.000Z,2022,Apr,4,2022-Apr-614,Apr,Offline,15.00,79.35,714.16,114.24,52.90,0.02,79.36999999999999,599.93,PHARMA,OTHERS
GM0001,258103,614/2022/S/8117,614,Sales,2022-04-23T00:00:00.000Z,2022,Apr,4,2022-Apr-614,Apr,Offline,1.00,2.68,24.11,4.02,26.79,0.0,2.68,20.09,FMCG,OTHERS
GM0011,361150,614/2022/S/7034,614,Sales,2022-04-20T00:00:00.000Z,2022,Apr,4,2022-Apr-614,Apr,Offline,1.00,0.00,422.88,97.26,422.88,0.0,0.0,325.62,FMCG,PL
GM0007,341204,614/2022/S/3026,614,Sales,2022-04-09T00:00:00.000Z,2022,Apr,4,2022-Apr-614,Apr,Offline,1.00,21.98,197.78,31.65,219.75,0.0,21.98,166.13,PHARMA,OTHERS
GM0007,380334,614/2022/S/4681,614,Sales,2022-04-14T00:00:00.000Z,2022,Apr,4,2022-Apr-614,Apr,Offline,2.00,16.34,92.6,10.24,9.08,0.01,16.35,82.36,PHARMA,OTHERS
GM0001,296785,614/2022/S/6538,614,Sales,2022-04-19T00:00:00.000Z,2022,Apr,4,2022-Apr-614,Apr,Offline,1.00,0.00,8.04,1.28,8.04,0.0,0.0,6.76,FMCG,OTHERS
GM0012,325625,614/2022/S/2752,614,Sales,2022-04-08T00:00:00.000Z,2022,Apr,4,2022-Apr-614,Apr,Offline,4.00,0.00,78.36,28.08,1.31,0.0,0.0,50.28,FMCG,PL
GM0003,207019,614/2022/S/2537,614,Sales,2022-04-08T00:00:00.000Z,2022,Apr,4,2022-Apr-614,Apr,Offline,1.00,0.00,47.84,10.94,4.79,0.01,0.01,36.90,PHARMA,OTHERS
GM0007,323815,614/2022/S/409,614,Sales,2022-04-02T00:00:00.000Z,2022,Apr,4,2022-Apr-614,Apr,Offline,1.00,37.77,339.9,46.83,12.59,0.0,37.77,293.07,PHARMA,OTHERS
-,246330,614/2022/S/6253,614,Sales,2022-04-18T00:00:00.000Z,2022,Apr,4,2022-Apr-614,Apr,Offline,1.00,0.00,199.15,59.67,199.15,0.0,0.0,139.48,FMCG,OTHERS
